1358442177116, 2013-01-17, 18:02:57:116, [wp_site:SCM Lab; wp_post:1; user:krejcar.zbynek], 95.91.115.12, seek_start: 26.518627166748047   26.26, Mozilla/5.0 (Windows NT 6.2, WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443170017, 2013-01-17, 18:19:30:17, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2548.61, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443178271, 2013-01-17, 18:19:38:271, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, seek_start: 157.200022   157, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443178414, 2013-01-17, 18:19:38:414, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, videos/7_scm_jit.webm seek_end: 648.08, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443221104, 2013-01-17, 18:20:21:104, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 106.45071411132812   106.38, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443222174, 2013-01-17, 18:20:22:174, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 232.65, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443222556, 2013-01-17, 18:20:22:556, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 107.89495849609375   107.89, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443222682, 2013-01-17, 18:20:22:682, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 218.55, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443224170, 2013-01-17, 18:20:24:170, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 109.51435852050781   109.4, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443225359, 2013-01-17, 18:20:25:359, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 1378.29, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443236699, 2013-01-17, 18:20:36:699, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, seek_start: 657.541   657.54, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443238555, 2013-01-17, 18:20:38:555, [wp_site:SCM Lab; wp_post:1; user:roztocilova.tereza], 95.91.112.23, videos/7_scm_jit.webm seek_end: 0, Mozilla/5.0 (Windows NT 6.1, WOW64, rv:18.0) Gecko/20100101 Firefox/18.0
1358443247189, 2013-01-17, 18:20:47:189, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 132.533935546875   132.45, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443247316, 2013-01-17, 18:20:47:316, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 0, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443248805, 2013-01-17, 18:20:48:805, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 1.2088769674301147   1.01, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443248933, 2013-01-17, 18:20:48:933, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 49.35, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443250230, 2013-01-17, 18:20:50:230, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 51.148372650146484   51.03, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443250362, 2013-01-17, 18:20:50:362, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 116.33, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443251500, 2013-01-17, 18:20:51:500, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 118.00057983398438   117.87, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443251628, 2013-01-17, 18:20:51:628, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 282, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443447192, 2013-01-17, 18:24:07:192, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 313.69073486328125   313.46, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443447316, 2013-01-17, 18:24:07:316, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 426.53, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443451746, 2013-01-17, 18:24:11:746, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 318.24847412109375   318.22, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443455360, 2013-01-17, 18:24:15:360, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2573.29, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443456548, 2013-01-17, 18:24:16:548, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, seek_start: 323.0453796386719   322.98, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443456678, 2013-01-17, 18:24:16:678, [wp_site:SCM Lab; wp_post:1; user:hrehova.dagmar], 80.188.121.7, videos/6_standortplanung_standortentscheidungen.webm seek_end: 2541.56, Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358443673768, 2013-01-17, 18:27:53:768, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, seek_start: 13.265986   13.09, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358443674686, 2013-01-17, 18:27:54:686, [wp_site:SCM Lab; wp_post:1; user:merkel.karolin], 79.197.124.73, videos/8_scm_logistik.webm seek_end: 0, Mozilla/5.0 (Windows NT 6.1, rv:18.0) Gecko/20100101 Firefox/18.0
1358445354809, 2013-01-17, 18:55:54:809, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 3.699172019958496   3.53, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445354922, 2013-01-17, 18:55:54:922, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 14.52, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445358576, 2013-01-17, 18:55:58:576, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 17.841367721557617   17.7, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445358699, 2013-01-17, 18:55:58:699, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 50.47, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445360077, 2013-01-17, 18:56:00:77, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 51.85344696044922   51.71, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445360204, 2013-01-17, 18:56:00:204, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 86.42, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445362414, 2013-01-17, 18:56:02:414, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 88.89423370361328   88.7, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445362535, 2013-01-17, 18:56:02:535, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 134.81, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445363939, 2013-01-17, 18:56:03:939, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 135.78265380859375   135.54, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445364049, 2013-01-17, 18:56:04:49, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 178.37, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445364948, 2013-01-17, 18:56:04:948, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 179.42315673828125   179.19, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445365067, 2013-01-17, 18:56:05:67, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 219.16, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445366340, 2013-01-17, 18:56:06:340, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 220.78720092773438   220.67, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445366461, 2013-01-17, 18:56:06:461, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, videos/4_netzwerktheorie_eulertourenHamiltongraphen.webm seek_end: 259.26, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
1358445368050, 2013-01-17, 18:56:08:50, [wp_site:SCM Lab; wp_post:1; user:durchanek.jan], 95.91.115.12, seek_start: 222.4968719482422   222.44, Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.52 Safari/537.17
